Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
45,Policies and Procedures - Implement Policies and Procedures,"Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.306(b)(2)(i), (ii), (iii), and (iv).",,"Policies, Procedures and Documentation",9,164.316(a),"A covered entity or business associate must, in accordance with § 164.306: (a) Standard: Policies and procedures.",Yes,,,
46,Documentation - Maintain Written Documentation,"Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",,"Policies, Procedures and Documentation",9,164.316(b)(1),(b)(1) Standard: Documentation.,Yes,,,
47,Documentation - Time Limit (6-year retention),"Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later.",,"Policies, Procedures and Documentation",9,164.316(b)(2)(i),(2) Implementation specifications: (i) Time limit (Required).,Yes,,,
48,Documentation - Availability of Documentation,Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.,,"Policies, Procedures and Documentation",9,164.316(b)(2)(ii),(ii) Availability (Required).,Yes,,,
49,Documentation - Periodic Review and Updates,"Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic protected health information.",,"Policies, Procedures and Documentation",9,164.316(b)(2)(iii),(iii) Updates (Required).,Yes,,,
50,General Rule - Prohibition on Use/Disclosure Without Basis,A covered entity or business associate may not use or disclose protected health information except as permitted or required by this subpart or by subpart C of part 160 of this subchapter.,,Permitted Uses and Disclosures,47,164.502(a),Standard establishing the foundational prohibition on use and disclosure of PHI without proper authorization or legal basis.,Yes,,,
51,Minimum Necessary - Apply Minimum Necessary Standard,"When using or disclosing protected health information or when requesting protected health information from another covered entity or business associate, a covered entity or business associate must make reasonable efforts to limit protected health information to the minimum necessary to accomplish the intended purpose of the use, disclosure, or request.",,Permitted Uses and Disclosures,47,164.502(b),Standard requiring covered entities and business associates to apply minimum necessary principle to all uses and disclosures of PHI.,Yes,,,
52,Business Associates - Obtain Satisfactory Assurances from Business Associates,"A covered entity may disclose protected health information to a business associate and may allow a business associate to create, receive, maintain, or transmit protected health information on its behalf, if the covered entity obtains satisfactory assurance that the business associate will appropriately safeguard the information.",,Permitted Uses and Disclosures,47,164.502(e),Standard establishing requirement for covered entities to obtain satisfactory assurances from business associates regarding safeguarding of PHI.,Yes,,,
53,Deceased Individuals - Apply PHI Protections to Deceased Individual Data,A covered entity must comply with the requirements of this subpart with respect to the protected health information of a deceased individual for a period of 50 years following the death of the individual.,,Permitted Uses and Disclosures,47,164.502(f),Standard extending PHI protections to deceased individuals data for 50 years post-death.,Yes,,,
54,Personal Representatives - Treat Personal Representatives as the Individual,"A covered entity must, except as provided in paragraphs (g)(3) and (g)(5) of this section, treat a personal representative as the individual for purposes of this subchapter.",,Permitted Uses and Disclosures,47,164.502(g),Standard requiring covered entities to treat personal representatives as the individual regarding PHI rights and protections.,Yes,,,
55,Confidential Communications - Honor Requests for Confidential Communications,A covered entity must comply with the applicable requirements of 164.522(b) in communicating protected health information.,,Permitted Uses and Disclosures,47,164.502(h),Standard regarding honoring requests for confidential communications.,Yes,,,
56,"Treatment, Payment, Operations - Permit Disclosures for TPO Without Authorization","Except with respect to uses or disclosures that require an authorization under § 164.508(a)(2) through (4) or that are prohibited under § 164.502(a)(5)(i), a covered entity may use or disclose protected health information for treatment, payment, or health care operations as set forth in paragraph (c) of this section, provided that such use or disclosure is consistent with other applicable requirements of this subpart.",,Permitted Uses and Disclosures,47,164.506(a),Standard: Permitted uses and disclosures,Yes,,,
57,Authorization: General - Obtain Valid Authorization Before Non-Permitted Use/Disclosure,"Except as otherwise permitted or required by this subchapter, a covered entity may not use or disclose protected health information without an authorization that is valid under this section.",,Permitted Uses and Disclosures,47,164.508(a)(1),§ 164.508 Uses and disclosures for which an authorization is required.,Yes,,,
58,Authorization: Psychotherapy - Obtain Separate Authorization for Psychotherapy Note Disclosures,"Notwithstanding any provision of this subpart, other than the transition provisions in § 164.532, a covered entity must obtain an authorization for any use or disclosure of psychotherapy notes, except: (i) To carry out the following treatment, payment, or health care operations: (A) Use by the originator of the psychotherapy notes for treatment; (B) Use or disclosure by the covered entity for its own training programs in which students, trainees, or practitioners in mental health learn under supervision to practice or improve their skills in group, joint, family, or individual counseling; or (C) Use or disclosure by the covered entity to defend itself in a legal action or other proceeding brought by the individual; and (ii) A use or disclosure that is required by § 164.502(a)(2)(ii) or permitted by § 164.512(a); § 164.512(d) with respect to the oversight of the originator of the psychotherapy notes; § 164.512(g)(1); or § 164.512(j)(1)(i).",,Permitted Uses and Disclosures,47,164.508(a)(2),§ 164.508(a)(2) Authorization required: Psychotherapy notes.,Yes,,,
59,Authorization: Marketing - Obtain Authorization for Marketing Uses of PHI,"Notwithstanding any provision of this subpart, other than the transition provisions in § 164.532, a covered entity must obtain an authorization for any use or disclosure of protected health information for marketing, except if the communication is in the form of: (A) A face-to-face communication made by a covered entity to an individual; or (B) A promotional gift of nominal value provided by the covered entity.",,Permitted Uses and Disclosures,47,164.508(a)(3),§ 164.508(a)(3) Authorization required: Marketing.,Yes,,,
60,Authorization: Sale of PHI - Obtain Authorization Before Selling PHI,"Notwithstanding any provision of this subpart, other than the transition provisions in § 164.532, a covered entity must obtain an authorization for any disclosure of protected health information which is a sale of protected health information, as defined in § 164.501 of this subpart.",,Permitted Uses and Disclosures,47,164.508(a)(4),§ 164.508(a)(4) Authorization required: Sale of protected health information.,Yes,,,
61,Authorization: Core Elements - Ensure Authorizations Contain All Required Elements,"A valid authorization is a document that meets the requirements in paragraphs (a)(3)(ii), (a)(4)(ii), (c)(1), and (c)(2) of this section, as applicable. A valid authorization may contain elements or information in addition to the elements required by this section, provided that such additional elements or information are not inconsistent with the elements required by this section.",,Permitted Uses and Disclosures,47,164.508(b),§ 164.508(b) Implementation specifications: General requirements (1) Valid authorizations.,Yes,,,
62,Facility Directories - Permit Facility Directory Use with Opportunity to Object,A covered health care provider must inform an individual of the protected health information that it may include in a directory and the persons to whom it may disclose such information (including disclosures to clergy of information regarding religious affiliation) and provide the individual with the opportunity to restrict or prohibit some or all of the uses or disclosures permitted by paragraph (a)(1) of this section.,,Permitted Uses and Disclosures,47,164.510(a),"A covered entity may use or disclose protected health information, provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure, in accordance with the applicable requirements of this section.",Yes,,,
63,Notification of Others - Permit Disclosure to Persons Involved in Care with Opportunity to Object,"A covered entity may, in accordance with paragraphs (b)(2), (b)(3), or (b)(5) of this section, disclose to a family member, other relative, or a close personal friend of the individual, or any other person identified by the individual, the protected health information directly relevant to such person's involvement with the individual's health care or payment related to the individual's health care.",,Permitted Uses and Disclosures,47,164.510(b),"A covered entity may use or disclose protected health information, provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure, in accordance with the applicable requirements of this section.",Yes,,,
64,Required by Law - Permit Disclosures Required by Law,A covered entity may use or disclose protected health information to the extent that such use or disclosure is required by law and the use or disclosure complies with and is limited to the relevant requirements of such law.,,Permitted Uses and Disclosures,47,164.512(a),Uses and disclosures for which an authorization or opportunity to agree or object is not required.,Yes,,,
65,Public Health Activities - Permit Disclosures to Public Health Authorities,"A covered entity may use or disclose protected health information for the public health activities and purposes described in this paragraph to: (i) A public health authority that is authorized by law to collect or receive such information for the purpose of preventing or controlling disease, injury, or disability, including, but not limited to, the reporting of disease, injury, vital events such as birth or death, and the conduct of public health surveillance, public health investigations, and public health interventions; or, at the direction of a public health authority, to an official of a foreign government agency that is acting in collaboration with a public health authority; (ii) A public health authority or other appropriate government authority authorized by law to receive reports of child abuse or neglect; (iii) A person subject to the jurisdiction of the Food and Drug Administration (FDA) with respect to an FDA-regulated product or activity for which that person has responsibility, for the purpose of activities related to the quality, safety or effectiveness of such FDA-regulated product or activity.",,Permitted Uses and Disclosures,47,164.512(b),Standard: Uses and disclosures for public health activities.,Yes,,,
66,Abuse/Neglect Reporting - Permit Disclosures Regarding Victims of Abuse or Neglect,"A covered entity may disclose protected health information about an individual whom the covered entity reasonably believes to be a victim of abuse, neglect, or domestic violence to a government authority, including a social service or protective services agency, authorized by law to receive reports of such abuse, neglect, or domestic violence: (i) To the extent the disclosure is required by law and the disclosure complies with and is limited to the relevant requirements of such law; (ii) If the individual agrees to the disclosure; or (iii) To the extent the disclosure is expressly authorized by statute or regulation and: (A) The covered entity, in the exercise of professional judgment, believes the disclosure is necessary to prevent serious harm to the individual or other potential victims; or (B) If the individual is unable to agree because of incapacity, a law enforcement or other public official authorized to receive the report represents that the protected health information for which disclosure is sought is not intended to be used against the individual and that an immediate enforcement activity that depends upon the disclosure would be materially and adversely affected by waiting until the individual is able to agree to the disclosure.",,Permitted Uses and Disclosures,47,164.512(c),"Standard: Disclosures about victims of abuse, neglect or domestic violence.",Yes,,,
67,Health Oversight Activities - Permit Disclosures to Health Oversight Agencies,"A covered entity may disclose protected health information to a health oversight agency for oversight activities authorized by law, including audits; civil, administrative, or criminal investigations; inspections; licensure or disciplinary actions; civil, administrative, or criminal proceedings or actions; or other activities necessary for appropriate oversight of: (i) The health care system; (ii) Government benefit programs for which health information is relevant to beneficiary eligibility; (iii) Entities subject to government regulatory programs for which health information is necessary for determining compliance with program standards; or (iv) Entities subject to civil rights laws for which health information is necessary for determining compliance.",,Permitted Uses and Disclosures,47,164.512(d),Standard: Uses and disclosures for health oversight activities.,Yes,,,
68,Judicial/Administrative Proceedings - Permit Disclosures in Legal Proceedings Under Required Conditions,"A covered entity may disclose protected health information in the course of any judicial or administrative proceeding: (i) In response to an order of a court or administrative tribunal, provided that the covered entity discloses only the protected health information expressly authorized by such order; or (ii) In response to a subpoena, discovery request, or other lawful process, that is not accompanied by an order of a court or administrative tribunal, if: (A) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iii) of this section, from the party seeking the information that reasonable efforts have been made by such party to ensure that the individual who is the subject of the protected health information that has been requested has been given notice of the request; or (B) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iv) of this section, from the party seeking the information that reasonable efforts have been made by such party to secure a qualified protective order that meets the requirements of paragraph (e)(1)(v) of this section.",,Permitted Uses and Disclosures,47,164.512(e),Standard: Disclosures for judicial and administrative proceedings.,Yes,,,
69,Law Enforcement - Permit Disclosures to Law Enforcement Under Specific Conditions,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(f),Standard: Disclosures to law enforcement.,Yes,,,
70,Decedents - Permit Disclosures to Coroners and Medical Examiners,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(g),Standard: Disclosures to coroners and medical examiners.,Yes,,,
71,Cadaveric Organ Donation - Permit Disclosures to Organ Procurement Organizations,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(h),Standard: Disclosures to organ procurement organizations.,Yes,,,
72,Research - Permit Disclosures for Research Under Required Conditions,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(i),Standard: Disclosures for research.,Yes,,,
73,Serious Threat to Health/Safety - Permit Disclosures to Prevent Serious and Imminent Threats,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(j),Standard: Disclosures to prevent serious and imminent threat to health or safety.,Yes,,,
74,"Specialized Government Functions - Permit Disclosures for Military, National Security, Correctional Contexts",Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(k),Standard: Disclosures for specialized government functions.,Yes,,,
75,Workers Compensation - Permit Disclosures as Required by Workers Compensation Laws,Text not provided in regulation excerpt supplied.,,Permitted Uses and Disclosures,47,164.512(l),Standard: Disclosures for workers compensation.,Yes,,,
76,De-identification - De-identify PHI Using Expert Determination or Safe Harbor Method,"A covered entity may determine that health information is not individually identifiable health information only if: (1) A person with appropriate knowledge of and experience with generally accepted statistical and scientific principles and methods for rendering information not individually identifiable: (i) Applying such principles and methods, determines that the risk is very small that the information could be used, alone or in combination with other reasonably available information, by an anticipated recipient to identify an individual who is a subject of the information; and (ii) Documents the methods and results of the analysis that justify such determination; or (2)(i) The following identifiers of the individual or of relatives, employers, or household members of the individual, are removed: [Names; All geographic subdivisions smaller than a State, including street address, city, county, precinct, zip code, and their equivalent geocodes, except for the initial three digits of a zip code if, according to the current publicly available data from the Bureau of the Census the geographic unit formed by combining all zip codes with the same three initial digits contains more than 20,000 people; and the initial three digits of a zip code for all such geographic units containing 20,000 or fewer people is changed to 000; All elements of dates (except year) for dates directly related to an individual, including birth date, admission date, discharge date, date of death; and all ages over 89 and all elements of dates (including year) indicative of such age, except that such ages and elements may be aggregated into a single category of age 90 or older; Telephone numbers; Fax numbers; Electronic mail addresses; Social security numbers; Medical record numbers; Health plan beneficiary numbers; Account numbers; Certificate/license numbers; Vehicle identifiers and serial numbers, including license plate numbers; Device identifiers and serial numbers; Web Universal Resource Locators (URLs); Internet Protocol (IP) address numbers; Biometric identifiers, including finger and voice prints; Full face photographic images and any comparable images; and Any other unique identifying number, characteristic, or code, except as permitted by paragraph (c) of this section] and (ii) The covered entity does not have actual knowledge that the information could be used alone or in combination with other information to identify an individual who is a subject of the information.",,De-identification and Data Use Limitations,47,164.514(a)–(b),Health information that does not identify an individual and with respect to which there is no reasonable basis to believe that the information can be used to identify an individual is not individually identifiable health information.,Yes,,,
