Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
11,RISK MANAGEMENT FRAMEWORK,"When identifying and prioritising appropriate risk treatment options and measures, the relevant entities shall take into account the risk assessment results, the results of the procedure to assess the effectiveness of cybersecurity risk- management measures, the cost of implementation in relation to the expected benefit, the asset classification referred to in point 12.1 and the business impact analysis referred to in point",,RISK MANAGEMENT POLICY,45,2.1.3,,Yes,,,
12,BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN,GUIDANCE. Make sure that personnel take into account the elements referred to in point 2.1.3 of the Annex to the regulation. EXAMPLES OF EVIDENCE. Guidance for personnel on assessing risks that takes into account the elements referred to in point 2.1.3 of the Annex to the regulation.,,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.1.3,,Yes,,,
13,RISK MANAGEMENT FRAMEWORK,"The relevant entities shall review and, where appropriate, update the risk assessment results and the risk treatment plan at planned intervals and at least annually and when significant changes to operations or risks or significant incidents occur.",,RISK MANAGEMENT POLICY,45,2.1.4,"Review risk assessment results and risk treatment at least annually taking into account:. results of audits and previous reviews,. status of implementation of the measures described in the risk treatment plan (see the policy on the assessment of the effectiveness of measures in line with the Annex to Regulation, point 7.1.1);. changes to the information systems;. changes to the environment of operation;. post-incident review findings (section 3.6); and. trends and changes related to threats and vulnerabilities, as they may affect risks.",Yes,,,
14,COMPLIANCE MONITORING,"The relevant entities shall regularly review the compliance with their policies on network and information system security, topic-specific policies, rules and standards. The management bodies shall be informed of the status of network and information security on the basis of the compliance reviews by means of regular reporting.",,RISK MANAGEMENT POLICY,45,2.2.1,"Develop a standardized report format for reporting to management bodies. Consider the following elements (indicative, non-exhaustive list):. key metrics,. compliance status, including policy exceptions,. identified risks and. recommended actions. Reports are generated and presented to management bodies at least annually.",Yes,,,
15,COMPLIANCE MONITORING,"The relevant entities shall put in place an effective compliance reporting system which shall be appropriate t. their structures, operating environments and threat landscapes. The compliance reporting system shall be capable t. provide to the management bodies an informed view of the current state of the relevant entities’ management of risks.",,RISK MANAGEMENT POLICY,45,2.2.2,"Set up procedures for compliance monitoring, including (indicative, non-exhaustive list):. objectives and a high-level approach to compliance monitoring;. relevant security policies that are subject to compliance monitoring;. the frequency of compliance reviews;. who should carry out compliance reviews (internal or external); and. templates for compliance review reports. Analyse and evaluate the results of the compliance review.",Yes,,,
16,COMPLIANCE MONITORING,The relevant entities shall perform the compliance monitoring at planned intervals and when significant incidents or significant changes to operations or risks occur.,,RISK MANAGEMENT POLICY,45,2.2.3,"Compliance monitoring should take place at least annually, taking into account:. significant incidents, if any;. changes to the environment of operation;. changes to the threat landscape and cybersecurity legal and regulatory requirements;. changes to standards; and. changes to the policy on the security of network and information systems and/or topic-specific policies. TECHNICAL IMPLEMENTATION GUIDANCE June 2025, version 1.0 28",Yes,,,
17,CYBERSECURITY RISK MANAGEMENT MEASURES EFFECTIVENESS ASSESSMENT,"Evidence that reports of lessons learned or root cause analysis of past incidents, if any, were taken int. account. 2.3 INDEPENDENT REVIEW OF INFORMATION AND NETWORK SECURITY",,CYBERSECURITY RISK MANAGEMENT MEASURES EFFECTIVENESS ASSESSMENT,45,7.1.1,,Yes,,,
18,INDEPENDENT REVIEW OF INFORMATION AND NETWORK SECURITY,"The relevant entities shall review independently their approach to managing network and information system security and its implementation including people, processes and technologies.",,RISK MANAGEMENT POLICY,45,2.3.1,"Make sure that the independent review is conducted by a person or persons with the appropriate competences (indicative, non-exhaustive list):. cybersecurity technical knowledge, for example cybersecurity frameworks (ISO/IEC 27001, National Institute of Standards and Technology (NIST) cybersecurity framework, etc.),. industry knowledge,. risk assessment skills,. compliance and regulatory knowledge, for example the NIS2 Directive, the GDPR and the Digital Operational Resilience Act,. good understanding of good practices in auditing and. good understanding of when technical certification and conformance are required and must be documented in the conformance and compliance report, to ensure that global standards are implemented correctly.",Yes,,,
19,INDEPENDENT REVIEW OF INFORMATION AND NETWORK SECURITY,"The relevant entities shall develop and maintain processes to conduct independent reviews which shall be carried out by individuals with appropriate audit competence. Where the independent review is conducted by staff members of the relevant entity, the persons conducting the reviews shall not be in the line of authority of the personnel of the area under review. If the size of the relevant entities does not allow such separation of line of authority, the relevant entities shall put in place alternative measures to guarantee the impartiality of the reviews.",,RISK MANAGEMENT POLICY,45,2.3.2,"Establish a process for independent review of information and network security that defines scope and purpose (compliance, risk assessment, policy adherence), methodology (standardised checklist, standard-based, ad hoc, real-time or periodic testing), review committee role, review frequency, whether reviews are internal or external, and report templates. Maintain independence per regulation point 2.3.2, considering alternative measures such as reviewer rotation, cross-departmental review committees, or external third-party providers where separation of line of authority is not feasible.",Yes,,,
20,INDEPENDENT REVIEW OF INFORMATION AND NETWORK SECURITY,"The results of the independent reviews, including the results from the compliance monitoring pursuant to point 2.2. and the monitoring and measurement pursuant to point 7, shall be reported to the management bodies. Corrective actions shall be taken or residual risk accepted according to the relevant entities’ risk acceptance criteria.",,RISK MANAGEMENT POLICY,45,2.3.3,"Analyse and evaluate independent review results and report to management bodies at least annually using a standardised format including executive summary with scope and key findings, methodology, detailed findings with gaps and non-compliance issues, recommendations, and conclusions. Take corrective actions or document and justify accepted residual risks. Systematically reflect review outcomes in risk assessments and risk treatment plans, updating the risk assessment whenever risks are identified or reassessed through independent reviews to ensure the risk profile remains accurate and emerging risks are adequately addressed.",Yes,,,
21,CYBERSECURITY RISK MANAGEMENT MEASURES EFFECTIVENESS ASSESSMENT,Documentation of any corrective actions. Budget approval for any corrective actions. The most recent results of compliance monitoring and auditing. Records from updated risk register.,,CYBERSECURITY RISK MANAGEMENT MEASURES EFFECTIVENESS ASSESSMENT,45,7.1.1,,Yes,,,
22,INDEPENDENT REVIEW OF INFORMATION AND NETWORK SECURITY,The independent reviews shall take place at planned intervals and when significant incidents or significant changes to operations or risks occur.,,RISK MANAGEMENT POLICY,45,2.3.4,"Independent reviews should take place at least annually, taking into account:. significant incidents, if any;. changes to the environment of operation;. changes to the threat landscape and cybersecurity legal and regulatory requirements; and. changes to the policy on the security of network and information systems and/or topic-specific policies.",Yes,,,
23,INCIDENT HANDLING POLICY,"For the purpose of Article 21(2), point (b) of Directive (EU) 2022/2555, the relevant entities shall establish and implement an incident handling policy laying down the roles, responsibilities and procedures for detecting, analysing, containing or responding to, recovering from, documenting and reporting of incidents in a timely manner.",,INCIDENT HANDLING,45,3.1.1,"Define clear objectives for the incident handling policy. Ensure the policy complies with relevant laws, regulations and industry standards (17).",Yes,,,
24,INCIDENT HANDLING POLICY,"The policy referred to in point 3.1.1 shall be coherent with the business continuity and disaster recovery plan referred to in point 4.1. The policy shall include: (a) a categorisation system for incidents that is consistent with the event assessment and classification carried out pursuant to point 3.4.1; (b) effective communication plans including for escalation and reporting; (c) assignment of roles to detect and appropriately respond to incidents to competent employees; (d) documents to be used in the course of incident detection and response such as incident response manuals, escalation charts, contact lists and templates.",,INCIDENT HANDLING,45,3.1.2,"Align the incident handling policy with business continuity and disaster recovery plans by ensuring both minimise disruptions and enable swift return to normal operations, identifying interfaces between processes, describing workflows that trigger business continuity during incidents, and developing test scenarios documenting the interaction between these processes. Establish an incident categorisation system using criteria such as business impact, data sensitivity, legal and regulatory impact including reporting timelines, scope and scale, attack type, malicious software or vulnerability exploitation, system criticality, containment urgency, data exfiltration or corruption potential, recovery likelihood, impact on human safety, and other significant incident criteria per regulation. Ensure the policy addresses system failures, malicious code, denial of service, errors, breaches of confidentiality and integrity, and misuse of systems. Communicate incidents to relevant stakeholders and personnel using a communication plan that specifies purpose, roles and responsibilities, internal and external stakeholders to inform, regulatory reporting timelines, escalation procedures, communication channels tailored to audience (internal, client, public), stakeholder feedback methods, and pre-drafted message templates with core messages and communication guidelines. Identify necessary roles and responsibilities for incident handling, utilising established skills frameworks such as the ECSF.",Yes,,,
25,INCIDENT HANDLING POLICY,"The roles, responsibilities and procedures laid down in the policy shall be tested and reviewed and, where appropriate, updated at planned intervals and after significant incidents or significant changes to operations or risks.",,INCIDENT HANDLING,45,3.1.3,"Test the incident handling policy at least annually using tabletop exercises, incident simulations based on selected attack scenarios aligned with identified risks and threat landscape, red team/blue team exercises, or past incident walk-throughs to validate roles, responsibilities, and procedures. Review and update roles, responsibilities, and procedures at least annually based on policy test results, changes to the threat landscape and cybersecurity legal or regulatory requirements, and changes to network and information systems security policies or topic-specific policies.",Yes,,,
26,MONITORING AND LOGGING,The relevant entities shall lay down procedures and use tools to monitor and log activities on their network and information systems to detect events that could be considered as incidents and respond accordingly to mitigate the impact.,,INCIDENT HANDLING,45,3.2.1,"Identify monitoring and logging objectives including threat detection, compliance assurance, incident response support, performance optimisation, anomaly detection, vulnerability monitoring for free and open source software components, data loss prevention, forensic investigation support, and network health monitoring. Monitoring procedures must describe objectives, data for collection and relevant tools, data algorithms, and notification mechanisms for relevant personnel. Select tools based on ease of use, integration with existing network and information systems including cross-border operations and associated regulatory and security considerations, minimisation of manual intervention, data collection capability from various sources (networks, systems, applications), security features (encryption, access control), and costs and licencing.",Yes,,,
27,MONITORING AND LOGGING,"To the extent feasible, monitoring shall be automated and carried out either continuously or in periodic intervals, subject to business capabilities. The relevant entities shall implement their monitoring activities in a way which minimises false positives and false negatives.",,INCIDENT HANDLING,45,3.2.2,"To minimise false positives and false negatives, to the extent feasible, consider one or more of the following (indicative, non-exhaustive list):. establish network traffic patterns;. use analytics and machine learning algorithms;. continuously update the automated monitoring tools to adapt to new threats and changes in the environment; and. fine-tune the parameters and thresholds based on the latest data and feedback. Where appropriate, ensure that all potential risks are properly covered by relevant use cases, for example use case for access to critical data, use case for data exfiltration or use case for ransomware infection, s. that no critical threat goes undetected.",Yes,,,
28,MONITORING AND LOGGING,"Relevant entities shall maintain, document and review logs established based on risk assessment results. Logs shall include: relevant outbound and inbound network traffic; creation, modification or deletion of users and permission extensions; access to systems and applications; authentication-related events; all privileged access and administrative account activities; access or changes to critical configuration and backup files; event logs and security tool logs such as antivirus, intrusion detection systems or firewalls; use and performance of system resources; physical access to facilities; access to and use of network equipment and devices; activation, stopping and pausing of logs; and environmental events.",,INCIDENT HANDLING,45,3.2.3,"With regard to critical configuration, consider the settings and parameters that are vital for the proper functioning, security and performance of the entity’s network and information system. These configurations are vital because any changes or misconfigurations might have a significant impact, including system outages, security vulnerabilities or reduced performance of the entity’s network and information system. Consult the risk assessment results to determine which network traffic needs to be logged. For example, if certain assets are identified as high risk (e.g. due to being potentially vulnerable or crucial to the business operation) their inbound and outbound traffic should be logged for monitoring and analysis.",Yes,,,
29,MONITORING AND LOGGING,"The logs shall be regularly reviewed for any unusual or unwanted trends. Where appropriate, the relevant entities shall lay down appropriate values for alarm thresholds. If the laid down values for alarm threshold are exceeded, an alarm shall be triggered, where appropriate, automatically. The relevant entities shall ensure that, in case of an alarm, a qualified and appropriate response is initiated in a timely manner.",,INCIDENT HANDLING,45,3.2.4,"Design procedures using anomaly detection or adaptive alarm thresholds to detect network-based attacks from anomalous traffic patterns and denial of service attacks timely. Set alarm thresholds aligned with risk assessment results covering at least the logging situations in point 3.2.3, including: traffic volume spikes exceeding 50% of normal traffic in 10 minutes on specific ports; three or more account lockouts within 15 minutes; two or more privilege escalations within 24 hours; malware detected on multiple endpoints within short timeframes; and unauthorized software installations within short timeframes.",Yes,,,
30,MONITORING AND LOGGING,The relevant entities shall maintain and back up logs for a predefined period and shall protect them from unauthorised access or changes.,,INCIDENT HANDLING,45,3.2.5,"Make sure that the log retention period is defined in accordance with business needs, the risk assessment results and legal requirements/obligations. The backup logs’ maintenance period shouldn’t be shorter than the logs’ review period, referred to in point 3.2.4 of the Annex to the regulation. The retention period should be in line with what is referred to in point 4.2.2 (f) of the Annex to the regulation. Delete data when the retention period ends. Consider mechanisms to protect logs from unauthorised access or changes (indicative, non-exhaustive list):. encryption,. access control,. hashing (section 9.2) and. logging of all access and changes to log files. The access control should be in line with what is referred to in point 4.2.2 (d) of the Annex to the regulation.",Yes,,,
31,MONITORING AND LOGGING,"To the extent feasible, the relevant entities shall ensure that all systems have synchronised time sources to be able to correlate logs between systems for event assessment. The relevant entities shall establish and keep a list of all assets that are being logged and ensure that monitoring and logging systems are redundant. The availability of the monitoring and logging systems shall be monitored independent of the systems they are monitoring.",,INCIDENT HANDLING,45,3.2.6,"Use authenticated Network Time Protocol (NTP) servers or Precision Time Protocol (PTP) for time synchronization, configure a central time server within the entity synchronized with reliable external sources, and use multiple time sources to avoid single points of failure. Plan time synchronization across on-premises systems, cloud services, and SaaS platforms, especially in hybrid environments. Mark assets being logged in the asset inventory per point 12.4. Implement measures to protect log data against loss including redundant storage across multiple locations, retention of processed log events in structured systems, and preservation of derived security insights per point 4.2. Deploy separate tools to monitor capacity and availability of primary monitoring and logging systems.",Yes,,,
32,MONITORING AND LOGGING,"The procedures as well as the list of assets that are being logged shall be reviewed and, where appropriate, updated at regular intervals and after significant incidents.",,INCIDENT HANDLING,45,3.2.7,"Determine the frequency of reviews based on the risk assessment results related to the criticality of the assets, ensuring that reviews are conducted at least annually. Include the testing of monitoring and logging procedures in security testing (section 6.5). Review a random sample of logs to verify that all the assets that should be subject to the log are actually considered.",Yes,,,
33,EVENT REPORTING,"The relevant entities shall put in place a simple mechanism allowing their employees, suppliers and customers t. report suspicious events.",,INCIDENT HANDLING,45,3.3.1,"Define suspicious events based on whether confidentiality, integrity or availability of the network or information system is affected, persistence of the event, impact such as number of affected assets, and compliance violations. Develop guidelines for report information aligned with what may be submitted to CSIRT or competent authority under NIS2 Directive Articles 23 or 30, including minimum reporting of date and time, event description, relevant screenshots and logs or evidence, and follow-up contact information. Provide multiple reporting channels such as email, web form, dedicated phone line or mobile app that are easily accessible and intuitive.",Yes,,,
34,EVENT REPORTING,"The relevant entities shall, where appropriate, communicate the event reporting mechanism to their suppliers and customers and shall regularly train their employees how to use the mechanism.",,INCIDENT HANDLING,45,3.3.2,"Make appropriate means for reporting available to personnel and the entity’s suppliers and customers. Consider anonymous reporting to encourage individuals to report security events without fear of reprisal. Take into account legal obligations to report an incident to the competent authorities (and CSIRTs) in line with the NIS2 Directive Articles 23 and 30, including any obligations about when the incident should be reported. Regularly remind stakeholders of the reporting mechanism through email newsletters, posters and other communication channels. Conduct regular exercises or simulations to test the effectiveness of the reporting mechanism.",Yes,,,
35,EVENT ASSESSMENT AND CLASSIFICATION,"The relevant entities shall assess suspicious events to determine whether they constitute incidents and, if so, determine their nature and severity.",,INCIDENT HANDLING,45,3.4.1,"Use criteria to assess whether a suspicious event is an incident or not. The guidance in section 3.1.2 provides an indicative, non-exhaustive list of such criteria. Determine the nature and severity of the event based on a categorisation system referred to in point 3.1.2 (a) of the Annex to the regulation.",Yes,,,
36,EVENT ASSESSMENT AND CLASSIFICATION,"For the purpose of point 3.4.1, the relevant entities shall act in the following manner: (a) carry out the assessment based on predefined criteria laid down in advance and on a triage to determine prioritisation of incident containment and eradication; (b) assess the existence of recurring incidents as referred to in Article 4 of this Regulation on a quarterly basis; (c) review the appropriate logs for the purposes of event assessment and classification; (d) put in place a process for log correlation and analysis and (e) reassess and reclassify events in case of new information becoming available or after analysis of previously available information.",,INCIDENT HANDLING,45,3.4.2,"Include activities in incident handling procedures for assessing suspicious events to determine nature and severity through gathering relevant information and evidence, analyzing potential impact on systems and operations, and determining severity based on predefined criteria. Implement playbooks or runbooks to guide initial assessment for common incident types such as ransomware, phishing, data or device loss, or fire. Classify events by severity (low, medium, high, critical), type (malware infection, unauthorized access), and regulatory implications. Prioritize events according to the categorization system in the incident handling policy. Perform root cause analysis to determine recurring incidents, noting that this assessment may be delayed in early incident handling stages. Review and correlate logs per point 3.2 and assess past events and their classification to improve processes, procedures and thresholds.",Yes,,,
37,INCIDENT RESPONSE,The relevant entities shall respond to incidents in accordance with documented procedures and in a timely manner.,,INCIDENT HANDLING,45,3.5.1,"Establish a dedicated incident response team comprising employees with the necessary technical expertise and authority to respond effectively to incidents, where appropriate. Define roles and responsibilities within the incident response team, such as incident coordinators, analysts and communication liaisons, where appropriate. Take into account industry-recognised standards when developing the incident response procedures (33). Implement playbooks or runbooks to guide incident response actions for common types of incidents.",Yes,,,
38,INCIDENT RESPONSE,"The incident response procedures shall include the following stages: (a) incident containment, to prevent the consequences of the incident from spreading; (b) eradication, to prevent the incident from continuing or reappearing, (c) recovery from the incident, where necessary.",,INCIDENT HANDLING,45,3.5.2,"Create incident response procedures addressing cybersecurity incident handling that account for entity priorities and incident impact. Recognize and resolve conflicts between forensic activities (preserving evidence for legal/compliance/investigative purposes), incident response activities (mitigating threats and preventing further damage), and operational continuity (minimizing IT service disruption). Establish a clear decision-making process that prioritizes based on accepted risk tolerance, business impact, and legal obligations, involves coordination between cybersecurity, legal/compliance and operational teams, and documents prioritization rationale for transparency and accountability. Develop incident response playbooks incorporating decision-making and escalation paths for managing trade-offs between evidence preservation, threat containment and operational continuity. Keep management bodies informed.",Yes,,,
39,INCIDENT RESPONSE,"The relevant entities shall establish communication plans and procedures: (a) with the Computer Security Incident Response Teams (CSIRTs) or, where applicable, the competent authorities, related to incident notification; (b) with relevant internal and external stakeholders.",,INCIDENT HANDLING,45,3.5.3,"Ensure that the communication plan (Annex to the regulation, point 3.1.2) includes procedures for how t. communicate the incident to the relevant authorities, the national CSIRT and internal and external stakeholders, including, where applicable, customers, direct suppliers, service providers and, if open source is used, contacts for free and open source software projects. Include contact information for key personnel, external stakeholders and relevant authorities.",Yes,,,
40,INCIDENT RESPONSE,The relevant entities shall log incident response activities in accordance with the procedures referred to in point,,INCIDENT HANDLING,45,3.5.4,,Yes,,,
41,MONITORING AND LOGGING,and record evidence.,,INCIDENT HANDLING,45,3.2.1,"Log incident response information which contains (indicative, non-exhaustive list):. time of detection, containment and eradication;. when the systems recovered;. indicators of compromise;. root cause;. actions taken during each phase namely, detection, containment and eradication;. assessment of the scope and the level of impact of the incident;. communications when responding to the incident;. post incident lessons learnt and recommendations; and. whether the CSIRT or the competent authority was notified of the incident according to the NIS2 Directive Articles 23 and 30.",Yes,,,
42,INCIDENT RESPONSE,The relevant entities shall test at planned intervals their incident response procedures.,,INCIDENT HANDLING,45,3.5.5,"Test the entity’s incident response procedures at least annually. Test different types of incidents, for example ransomware, phishing, data breach and DoS. Ensure that test scenarios involve employees from different departments as well as external stakeholders, for example suppliers and service providers. Where necessary, include management bodies in the tests so that they understand their role during an incident. Conduct post-test reviews for possible lessons learnt. Update the incident response procedures based on the lessons learnt from the test, if applicable.",Yes,,,
43,POST-INCIDENT REVIEWS,"Where appropriate, the relevant entities shall carry out post-incident reviews after recovery from incidents. The post-incident reviews shall identify, where possible, the root cause of the incident and result in documented lessons learned to reduce the occurrence and consequences of future incidents.",,INCIDENT HANDLING,45,3.6.1,"Conduct root cause analysis (34) and identify the root cause of the incident, where possible. Identify contributing factors and areas for improvement in incident detection, response and recovery processes. Investigate significant incidents and write final incident reports, including actions taken and recommendations to mitigate future occurrence of this type of incident. Document lessons learnt, accompanied by recommendations and their owners, based on logs from incident response referred to in point 3.5.4 of the Annex to the regulation. Share any relevant findings in the post-incident review with affected stakeholders, for example suppliers, service providers, free and open source component maintainers.",Yes,,,
44,POST-INCIDENT REVIEWS,"The relevant entities shall ensure that post-incident reviews contribute to improving their approach to network and information security, to risk treatment measures and to incident handling, detection and response procedures.",,INCIDENT HANDLING,45,3.6.2,"Analyse the post-incident review findings to identify gaps and weaknesses in the entity’s network and information security status. Make sure that the identified gaps and weaknesses feed back to the risk assessment and risk treatment plan (Annex to the regulation, point 2.1). Assess whether existing risk treatment measures were effective in preventing or mitigating the incident. Document the findings and lessons learnt from each post-incident review comprehensively. Consider whether information security requirements have been met throughout the handling of a cybersecurity incident or whether measures may need to be taken to restore them (e.g. resetting passwords for emergency administrative access).",Yes,,,
