Framework_ID,Name,Framework_ID,INTERNAL - Release Wave,Category,Code,Description,Framework Type,Is Active,Last Update Date,Owner (Company),Published Date,Region Scope,Report Objectives,Sort Order,Source URL,VectraIQ_Supported,Version,N8N Content Generator
16,FFIEC - Federal Financial Institutions Examination Council Guidelines,16,Wave 2,Financial Regulations,FFIEC,"FFIEC guidance provides supervisory expectations for cybersecurity, IT governance, risk management, business continuity, and third-party oversight within financial institutions. It is used by federal banking regulators during examinations. Organizations select this framework to evaluate alignment with supervisory expectations and strengthen examination readiness.",Risk Assessment,Yes,1-Sep-23,,1-Mar-79,United States,"This assessment evaluated the organization's governance, risk management, cybersecurity controls, and operational resilience practices against applicable FFIEC handbooks and guidance within the defined scope to assess alignment with supervisory expectations, identify examination exposure areas, and evaluate overall readiness for regulatory review.",16,https://www.ffiec.gov/cybersecurity.htm,No,N/A,
17,SEC - U.S. Securities and Exchange Commission Cyber Rules,17,Wave 2,Financial Regulations,SEC,"SEC cybersecurity rules establish requirements for risk management, incident disclosure, governance oversight, and board accountability for public companies and certain regulated entities. Organizations select this framework to assess disclosure readiness, governance maturity, and compliance with federal securities cybersecurity reporting obligations.",Risk Assessment,Yes,1-Jan-24,,26-Jul-23,United States,"This assessment evaluated the organization's cybersecurity risk management program, incident response governance, disclosure controls, board oversight processes, and material incident reporting mechanisms against applicable SEC cybersecurity rules within the defined scope to assess regulatory alignment, identify disclosure or governance gaps, and determine readiness for enforcement and reporting obligations.",17,https://www.sec.gov/news/press-release/2023-139,No,2023,
18,FedRAMP - Low Impact Baseline,18,Wave 2,Cloud & Service Provider Frameworks,FedRAMP Low,"FedRAMP Low establishes a standardized security baseline for cloud systems processing low-impact federal information. Derived from NIST SP 800-53 controls, it defines minimum security requirements for authorization to operate. Organizations select this baseline to assess readiness for federal cloud authorization and align security controls with government expectations.",Risk Assessment,Yes,1-Aug-23,,########,United States,"This assessment evaluated the organization's cloud system controls against the FedRAMP Low Impact Baseline derived from NIST SP 800-53 within the defined authorization boundary to assess implementation of required security controls, adequacy of documentation artifacts, identification of control gaps, and readiness for authorization to operate.",18,https://www.fedramp.gov/assets/resources/documents/CSP_Required_3PAO_Assessment_Templates.zip,Yes,Rev. 5,
19,FedRAMP - Moderate Impact Baseline,19,Wave 2,Cloud & Service Provider Frameworks,FedRAMP Moderate,"FedRAMP Moderate establishes a more rigorous security baseline for cloud systems processing moderate-impact federal information. It includes expanded control requirements, continuous monitoring expectations, and formal authorization processes. Organizations select this baseline to evaluate cloud security maturity and prepare for authorization within federal environments.",Risk Assessment,Yes,1-Aug-23,,########,United States,"This assessment evaluated the organization's cloud system controls against the FedRAMP Moderate Impact Baseline derived from NIST SP 800-53 within the defined authorization boundary to assess implementation and operational effectiveness of required controls, sufficiency of continuous monitoring processes, identification of control deficiencies, and readiness for authorization to operate.",19,https://www.fedramp.gov/assets/resources/documents/CSP_Required_3PAO_Assessment_Templates.zip,Yes,Rev. 5,
20,FedRAMP - High Impact Baseline,20,Wave 2,Cloud & Service Provider Frameworks,FedRAMP High,"FedRAMP High defines the most stringent security baseline for cloud systems supporting high-impact federal information. It requires extensive control implementation, documentation, and continuous monitoring practices. Organizations select this baseline to assess advanced cloud security capabilities and prepare for authorization in high-risk federal environments.",Risk Assessment,Yes,1-Aug-23,,########,United States,"This assessment evaluated the organization's cloud system controls against the FedRAMP High Impact Baseline derived from NIST SP 800-53 within the defined authorization boundary to assess implementation rigor, documentation completeness, continuous monitoring maturity, identification of high-impact control gaps, and readiness for authorization to operate in high-risk environments.",20,https://www.fedramp.gov/assets/resources/documents/CSP_Required_3PAO_Assessment_Templates.zip,Yes,Rev. 5,
21,NFA - National Futures Association Compliance Rules,21,Wave 2,Financial Regulations,NFA,"NFA rules govern futures commission merchants, commodity trading advisors, and related entities. They establish supervisory, cybersecurity, and compliance oversight requirements. Organizations select this framework to assess regulatory alignment, strengthen supervisory controls, and prepare for examination or enforcement review.",Risk Assessment,Yes,1-Feb-24,,########,United States,"This assessment evaluated the organization's supervisory procedures, cybersecurity controls, compliance governance, and recordkeeping practices against applicable NFA compliance rules within the defined scope to assess regulatory alignment, identify supervisory or control deficiencies, and determine readiness for examination and enforcement review.",21,https://www.nfa.futures.org/rulebook/rules.aspx,No,N/A,
22,FTC Safeguards Rule - Gramm-Leach-Bliley Act Compliance,22,Wave 2,Financial Regulations,FTC Safeguards,"The FTC Safeguards Rule implements the information security provisions of GLBA and requires covered financial institutions to maintain a written information security program, conduct risk assessments, implement safeguards, and oversee service providers. Organizations select this framework to evaluate data protection controls and regulatory compliance readiness.",Risk Assessment,Yes,9-Jun-23,,########,United States,"This assessment evaluated the organization's written information security program, risk assessment processes, administrative and technical safeguards, service provider oversight, and board-level reporting mechanisms against the FTC Safeguards Rule requirements under GLBA within the defined scope to assess compliance alignment, identify control gaps, and determine readiness for regulatory enforcement review.",22,https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act,No,2023,
23,GLBA - Gramm-Leach-Bliley Act,23,Wave 2,Financial Regulations,GLBA,"GLBA establishes privacy and safeguard requirements for financial institutions handling consumer financial information. It governs privacy notices, data sharing limitations, and protection of nonpublic personal information. Organizations select this framework to assess privacy compliance posture and strengthen customer data protection controls.",Risk Assessment,Yes,1-Jun-23,,########,United States,"This assessment evaluated the organization's privacy notices, data sharing practices, information security safeguards, and oversight controls against applicable Gramm-Leach-Bliley Act requirements within the defined scope to assess regulatory alignment, identify privacy and safeguard deficiencies, and evaluate exposure to enforcement and reputational risk.",23,https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act,No,1999,
24,GDPR - General Data Protection Regulation,24,Wave 2,Privacy Regulations,GDPR,"GDPR is the European Union regulation governing personal data protection, data subject rights, cross-border transfers, breach notification, and accountability obligations. It applies to organizations processing EU personal data regardless of location. Organizations select GDPR assessments to evaluate compliance readiness, strengthen privacy governance, and reduce regulatory fine exposure.",Risk Assessment,Yes,1-May-23,,########,European Union (EU),"This assessment evaluated the organization's data processing activities, lawful basis determinations, data subject rights management processes, security safeguards, cross-border transfer mechanisms, and governance structures against GDPR requirements within the defined scope to assess compliance alignment, identify accountability and documentation gaps, and determine exposure to regulatory fines and enforcement risk.",24,https://eur-lex.europa.eu/eli/reg/2016/679/oj,No,2016,
25,CMMC Level 2 - Cybersecurity Maturity Model Certification,25,Wave 2,Cybersecurity Frameworks,CMMC L2,CMMC Level 2 establishes advanced cybersecurity requirements for organizations handling Controlled Unclassified Information within the U.S. defense industrial base. It aligns with NIST SP 800-171 and requires formal third-party assessment. Organizations select CMMC Level 2 to evaluate implementation maturity and prepare for certification under Department of Defense contracts.,Risk Assessment,Yes,1-Jan-24,,4-Nov-21,United States,"This assessment evaluated the organization's implementation and institutionalization of CMMC Level 2 practices mapped to NIST SP 800-171 requirements within the defined scope to assess protection of Controlled Unclassified Information, validate maturity of process implementation, identify unmet practices, and determine readiness for certified third-party assessment.",25,https://dodcio.defense.gov/CMMC/,No,2,
26,NIST SP 800-53 - High Impact Baseline,26,Wave 2,Cybersecurity Frameworks,NIST 800-53 High,"The NIST SP 800-53 High Impact Baseline defines a comprehensive set of security and privacy controls for systems where loss of confidentiality, integrity, or availability would have severe impact. Organizations select this baseline to evaluate high-risk system protections and align with federal security expectations.",Risk Assessment,Yes,1-Oct-23,,########,United States,"This assessment evaluated the organization's security and privacy controls against the NIST SP 800-53 High Impact Baseline within the defined system boundary to assess implementation rigor, control effectiveness, documentation completeness, identification of high-impact control gaps, and overall risk posture in environments requiring maximum protection.",26,https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final,Yes,Rev. 5,
27,NIST SP 800-53 - Complete Control Catalog,27,Wave 2,Cybersecurity Frameworks,NIST 800-53 All,"NIST SP 800-53 provides a comprehensive catalog of security and privacy controls used across federal and enterprise environments. Organizations select the full catalog to tailor control sets based on system impact, regulatory requirements, or internal risk models.",Risk Assessment,Yes,1-Oct-23,,########,United States,"This assessment evaluated the organization's selected security and privacy controls against the full NIST SP 800-53 control catalog within the defined system scope to assess control selection rationale, implementation effectiveness, documentation alignment, identification of control deficiencies, and overall risk management maturity.",27,https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final,Yes,Rev. 5,
28,CCPA - California Consumer Privacy Act,28,Wave 2,Privacy Regulations,CCPA,"CCPA establishes consumer data privacy rights for California residents, including access, deletion, opt-out, and transparency requirements. It governs data collection, disclosure, and service provider obligations. Organizations select CCPA assessments to evaluate consumer privacy compliance readiness and reduce regulatory and civil liability risk.",Risk Assessment,Yes,1-Jan-23,,28-Jun-18,United States,"This assessment evaluated the organization's consumer data collection practices, notice disclosures, data subject request handling processes, information security safeguards, and service provider oversight mechanisms against CCPA requirements within the defined scope to assess compliance alignment, identify privacy control gaps, and determine exposure to regulatory enforcement and civil liability.",28,https://oag.ca.gov/privacy/ccpa,No,2018,
29,ISO/IEC 9001 - Quality Management Systems,29,Wave 3,Risk & Management Standards,ISO 9001,"ISO 9001 is an international standard for establishing and maintaining a Quality Management System focused on consistent product and service delivery. It defines requirements for leadership accountability, process control, risk-based thinking, performance measurement, corrective action, and continual improvement. Organizations select ISO 9001 to formalize operational quality practices, improve customer satisfaction, and prepare for certification.",Risk Assessment,Yes,1-Jul-21,,########,Global,"This assessment evaluated the organization's Quality Management System within the defined scope against ISO 9001 requirements, including leadership commitment, process design and control, risk-based thinking, performance evaluation, corrective action, and continual improvement mechanisms, to assess conformity with Clauses 4 through 10, identify nonconformities and process control gaps, and determine readiness for certification or surveillance audit.",29,https://www.iso.org/standard/62085.html,Yes,2015,
30,ISO/IEC 22301:2019 - Business Continuity Management Systems,30,Wave 3,Risk & Management Standards,ISO 22301,"ISO 22301:2019 establishes requirements for a Business Continuity Management System designed to ensure organizational resilience during disruptive events. It covers business impact analysis, risk assessment, continuity strategy development, incident response integration, testing and exercising, and continual improvement. Organizations select ISO 22301 to strengthen operational resilience and prepare for certification or regulatory scrutiny.",Risk Assessment,Yes,1-Jul-21,,31-Oct-19,Global,"This assessment evaluated the organization's Business Continuity Management System within the defined scope against ISO 22301:2019 requirements, including business impact analysis, risk assessment, continuity strategy development, incident response integration, exercising and testing, and continual improvement processes, to assess conformity with standard requirements, identify capability and documentation gaps, and determine operational resilience and certification readiness.",30,https://www.iso.org/standard/75106.html,Yes,2019,
31,ISO/IEC 27035 - Information Security Incident Management,31,Wave 3,Cybersecurity Frameworks,ISO 27035,"ISO/IEC 27035 provides guidance for establishing and improving structured information security incident management processes. It outlines incident detection, reporting, assessment, response coordination, communication, and post-incident learning practices. Organizations select ISO 27035 to mature their incident response capability and align with internationally recognized lifecycle management standards.",Risk Assessment,Yes,1-Sep-22,,1-Feb-16,Global,"This assessment evaluated the organization's incident management framework against ISO/IEC 27035 guidance within the defined scope to assess preparedness across detection, reporting, assessment, response, communication, and post-incident learning activities, determine alignment with structured incident lifecycle management practices, identify procedural and governance gaps, and evaluate overall incident response maturity.",31,https://www.iso.org/standard/60803.html,Yes,2016,
32,ITIL - IT Service Management Framework,32,Wave 3,Risk & Management Standards,ITIL,"ITIL is a globally recognized framework for managing IT services across their lifecycle, including service strategy, design, transition, operation, and continual improvement. It emphasizes structured processes such as change enablement, incident and problem management, service level management, and performance optimization. Organizations select ITIL to improve service reliability, operational efficiency, and governance alignment.",Risk Assessment,Yes,1-Oct-23,,1-Feb-19,Global,"This assessment evaluated the organization's IT service management practices against ITIL guidance within the defined scope, including service strategy, service design, change enablement, incident and problem management, service level management, and continual improvement processes, to assess operational maturity, governance alignment, process effectiveness, and opportunities to improve service performance and risk control.",32,https://www.axelos.com/certifications/itil-service-management,Yes,ITIL 4,
33,COSO - Internal Control Framework,33,Wave 3,Risk & Management Standards,COSO,"The COSO Internal Control Integrated Framework provides principles for designing and evaluating enterprise internal controls. It defines five components: control environment, risk assessment, control activities, information and communication, and monitoring. Organizations select COSO to assess governance effectiveness, strengthen internal controls over operations and reporting, and support regulatory or audit requirements.",Risk Assessment,Yes,1-Jun-17,,########,Global,"This assessment evaluated the organization's internal control environment against the COSO Internal Control Integrated Framework within the defined scope, including control environment, risk assessment, control activities, information and communication, and monitoring components, to assess design and operating effectiveness of controls, identify material weaknesses or significant deficiencies, and evaluate overall governance and risk management maturity.",33,https://www.coso.org/Pages/ic.aspx,Yes,2013,
34,COBIT 2019 - IT Governance Framework,34,Wave 3,Risk & Management Standards,COBIT 2019,"COBIT 2019 is a governance and management framework for enterprise information and technology. It aligns IT objectives with business goals, defines governance and management objectives, and supports performance measurement and capability assessment. Organizations select COBIT to evaluate IT governance maturity, strengthen oversight, and optimize value delivery and risk management.",Risk Assessment,Yes,1-Sep-23,,1-Nov-18,Global,"This assessment evaluated the organization's IT governance and management system against COBIT 2019 within the defined scope, including governance objectives, management objectives, performance management practices, and alignment with enterprise goals, to assess capability levels, identify governance and control gaps, and determine effectiveness of IT value delivery and risk optimization.",34,https://www.isaca.org/resources/cobit,Yes,2019,
35,ISO/IEC 42001 - Artificial Intelligence Management Systems,35,Wave 3,AI & Emerging Tech Governance,ISO 42001,"ISO/IEC 42001 establishes requirements for an Artificial Intelligence Management System focused on responsible development, deployment, and oversight of AI technologies. It addresses governance structure, risk assessment, lifecycle controls, transparency, monitoring, and continual improvement. Organizations select ISO 42001 to formalize AI governance practices and prepare for emerging regulatory and ethical expectations.",Risk Assessment,Yes,1-Jan-24,,########,Global,"This assessment evaluated the organization's Artificial Intelligence Management System within the defined scope against ISO/IEC 42001 requirements, including AI governance structure, risk assessment methodology, lifecycle controls, transparency and accountability mechanisms, monitoring processes, and continual improvement practices, to assess conformity with management system requirements, identify control and oversight gaps, and determine readiness for certification and responsible AI deployment.",35,https://www.iso.org/standard/81230.html,Yes,2023,
36,ISO/IEC 27003 - Information Security Management System Guidance,36,Wave 3,Cybersecurity Frameworks,ISO 27003,"ISO/IEC 27003 provides implementation guidance for establishing and maintaining an Information Security Management System aligned with ISO 27001 requirements. It offers structured recommendations for risk assessment, control selection, governance integration, and performance evaluation. Organizations select ISO 27003 to support structured ISMS development and improve readiness for ISO 27001 certification.",Risk Assessment,Yes,1-Jan-22,,1-Apr-17,Global,"This assessment evaluated the organization's implementation and operationalization of its Information Security Management System against ISO/IEC 27003 guidance within the defined scope to assess adequacy of ISMS design, alignment with ISO 27001 structural requirements, effectiveness of risk assessment and control selection processes, and identification of structural or governance deficiencies impacting ISMS maturity.",36,https://www.iso.org/standard/63418.html,Yes,2017,
37,NIST AI RMF - Artificial Intelligence Risk Management Framework,37,Wave 3,AI & Emerging Tech Governance,NIST AI RMF,"The NIST Artificial Intelligence Risk Management Framework provides guidance for managing risks associated with AI systems through four core functions: Govern, Map, Measure, and Manage. It emphasizes transparency, accountability, bias mitigation, security, and lifecycle oversight. Organizations select NIST AI RMF to assess AI-related risks, strengthen governance controls, and align with evolving regulatory and industry expectations.",Risk Assessment,Yes,26-Jan-23,,26-Jan-23,Global,"This assessment evaluated the organization's AI governance and risk management practices against the NIST AI Risk Management Framework within the defined scope, including Govern, Map, Measure, and Manage functions, to assess identification and mitigation of AI-related risks, transparency and accountability mechanisms, lifecycle risk management integration, and overall maturity of responsible AI oversight practices.",37,https://www.nist.gov/itl/ai-risk-management-framework,Yes,1,
38,U.S. Food and Drug Administration Regulations,38,Wave 4,Industry-Specific Compliance,FDA,"U.S. Food and Drug Administration regulations govern quality systems, product safety, data integrity, validation controls, and regulatory documentation for organizations operating in regulated life sciences and medical industries. They include current Good Manufacturing Practice requirements and inspection oversight expectations. Organizations select this framework to assess regulatory compliance readiness and strengthen quality and documentation controls prior to FDA inspection.",Risk Assessment,Yes,1-Jan-24,,25-Jun-38,United States,"This assessment evaluated the organization's quality systems, validation controls, data integrity practices, change management processes, and regulatory documentation against applicable U.S. Food and Drug Administration regulations within the defined scope to assess compliance with current Good Manufacturing Practices and related requirements, identify procedural and control deficiencies, and determine readiness for regulatory inspection and enforcement scrutiny.",38,https://www.fda.gov/regulatory-information/search-fda-guidance-documents,No,N/A,
